bitnameid,bitid,bitname
205,101,L1_DoubleEG_15_10
206,40,L1_DoubleJetC52
207,105,L1_DoubleJetC60_ETM60
208,107,L1_Jet32_DoubleMu_Open_10_MuMuNotWdPhi23_JetMuWdPhi1
209,88,L1_Mu4_EG18
210,75,L1_Mu5_EG20
211,87,L1_Mu8_HTT125
212,46,L1_QuadJetC40
213,57,L1_SingleEG15
214,54,L1_SingleEG35
215,49,L1_SingleEG40
216,51,L1_SingleIsoEG20er
217,65,L1_SingleMu30
218,89,L1_SingleMuOpen_NotBptxOR
219,98,L1_TripleMu_5_5_3
220,121,L1_BscMinBiasInnerThreshold2
221,97,L1_DoubleForJet10U_EtaOpp
222,68,L1_ETM70
223,125,L1_IsoEG10_Jet6U_ForJet6U
224,115,L1_Mu3_Jet6U
225,100,L1_SingleForJet2U
226,4,L1_SingleHfRingEtSumsRing1_4
227,16,L1_SingleJet10U
228,54,L1_SingleMuBeamHalo
229,110,L1_SingleCenJet2U
230,112,L1_SingleTauJet2U
231,76,L1_DoubleIsoEG05_TopBottomCen
232,119,L1_EG12_Jet40U
233,121,L1_IsoEG10_Jet8U
234,114,L1_Mu3QFC_EG12
235,113,L1_Mu5QFC_IsoEG10
236,80,L1_SingleJet10U_Endcap
237,25,L1_SingleJet20U_Barrel
238,23,L1_SingleJet6U_Barrel
239,35,L1_SingleTauJet8U_Barrel
240,119,L1_Bsc2Minus_BptxMinus
241,118,L1_Bsc2Plus_BptxPlus
242,39,L1_BscSplashBeam2
243,88,L1_SingleJet10U_NotBptxOR
244,99,L1_DoubleMuOpen_BptxAND
245,93,L1_HcalHfMmOrPpOrPm_BptxAND
246,35,L1_SingleJet40U_BptxAND
247,112,L1_ZdcScintPlus
248,123,L1_Bsc2Plus_BptxPlus
249,118,L1_DoubleEG5_HTT75
250,35,L1_DoubleTauJet40_Eta2p17
251,80,L1_Mu0_HTT50
252,83,L1_Mu3_Jet20_Central
253,76,L1_ETT260
254,84,L1_Mu3_Jet28
255,89,L1_Mu7_TauJet16
256,32,L1_SingleTauJet52
257,125,L1_ZdcScintLooseVertex
258,88,L1_EG12_TauJet20_deltaPhi1
259,20,L1_SingleJet8
260,45,L1_DoubleMu_10_3p5
261,30,L1_Mu3_JetC52_WdEtaPhi2
262,21,L1_DoubleEG6_HTT100
263,106,L1_DoubleMuOpen_BptxAND
264,67,L1_ETT70_BptxAND
265,88,L1_SingleEG8_BptxAND
266,56,L1_SingleMu0_BptxAND
267,57,L1_SingleMu3_BptxAND
268,117,L1_DoubleEG10
269,6,L1_DoubleEG6_HTT75
270,98,L1_CastorEm_NotHcalHfCoincidencePm
271,105,L1_DoubleJet20_TotemDiffractive
272,115,L1_DoubleJetC36_TotemDiffractive
273,74,L1_ETT20_BptxAND
274,120,L1_SingleJet52_TotemDiffractive
275,76,L1_BscMinBiasThreshold1_BptxAND
276,77,L1_BscMinBiasThreshold2_BptxAND
277,84,L1_HTT75
278,83,L1_Mu10er_ETM50
279,74,L1_Mu20_EG10
280,64,L1_SingleMu25
281,97,L1_TripleMu0
282,120,L1_BscMinBiasInnerThreshold1
283,122,L1_BscMinBiasOR
284,75,L1_DoubleEG05_TopBottom
285,72,L1_HTM20
286,71,L1_HTT200
287,19,L1_SingleJet40U
288,72,L1_HTT300
289,79,L1_SingleJet6U_Endcap
290,111,L1_TripleMu3
291,76,L1_ETT140
292,109,L1_QuadJet8U
293,122,L1_BptxPlusORMinus_instance1
294,3,L1_BscMinBiasInnerThreshold2_BptxAND
295,94,L1_HcalHfCoincidencePm_BptxAND
296,29,L1_NotBsc2_BptxAND_BscMinBiasThreshold2
297,78,L1_NotBsc2_BptxAND_HcalHfCoincidencePm
298,23,L1_NotBsc2_BscMinBiasThreshold1
299,92,L1_NotBsc2_HcalHfMmpOrMpp
300,34,L1_SingleJet30U_BptxAND
301,89,L1_SingleJet50U_BptxAND
302,39,L1_ZdcCaloPlus_BptxAND
303,113,L1_ZdcScintMinus
304,15,L1_SingleJet16
305,78,L1_SingleJet32_NotBptxOR_NotMuBeamHalo
306,18,L1_SingleJet68
307,27,L1_SingleMu5_Eta1p5_Q80
308,107,L1_TripleEG5
309,46,L1_DoubleEG_15_5
310,105,L1_Mu10_ETM20
311,40,L1_DoubleEG_12_5_Eta1p39
312,101,L1_DoubleForJet44_EtaOpp
313,76,L1_DoubleJet64_Central
314,92,L1_DoubleMu0
315,95,L1_DoubleMu5
316,34,L1_EG15_ForJet16
317,72,L1_HTT75
318,81,L1_Mu0_HTT75
319,74,L1_Mu10_Eta2p1_DoubleJet_16_8_Central
320,86,L1_SingleMu16_Eta2p1
321,9,L1_TripleMu0
322,77,L1_DoubleIsoEG5
323,74,L1_ETT180
324,126,L1_HcalHfCoincPmORBscMinBiasThresh1_BptxAND
325,36,L1_DoubleTauJet36
326,86,L1_EG10_Jet24_Central_deltaPhi1
327,28,L1_Mu3_DoubleEG5
328,12,L1_MuOpen_EG5
329,26,L1_DoubleMu0er_HighQ
330,84,L1_EG18er_JetC_Cen36_Tau28_dPhi1
331,79,L1_ETM40
332,83,L1_IsoEG18er_JetC_Cen36_Tau28_dPhi1
333,81,L1_Mu0_HTT100
334,12,L1_Mu12er_ETM20
335,109,L1_QuadJetC32
336,106,L1_QuadJetC40
337,31,L1_SingleEG7
338,43,L1_SingleIsoEG18er
339,32,L1_SingleIsoEG20er
340,86,L1_SingleMu16er
341,98,L1_TripleMu_5_5_0
342,84,L1_Mu7er_ETM20
343,82,L1_DoubleEG5
344,3,L1_DoubleJet20
345,11,L1_DoubleTauJet40er
346,25,L1_DoubleTauJet44er
347,80,L1_HTT250
348,63,L1_ETM30_BptxAND
349,68,L1_ETT100_BptxAND
350,100,L1_SingleJet128_Central_BptxAND
351,15,L1_SingleJet36_BptxAND
352,20,L1_SingleJet92
353,87,L1_SingleMu12er
354,114,L1_CastorTotalEnergy_TotemLowMultiplicity
355,101,L1_DoubleMuOpen_BptxAND
356,54,L1_ETT60
357,85,L1_SingleMu18er
358,106,L1_DoubleJetC32_WdPhi7_HTT125
359,92,L1_DoubleEG6_HTT150
360,41,L1_DoubleJetC84
361,108,L1_Jet32_MuOpen_EG10_MuEGNotWdPhi3_JetMuWdPhi1
362,9,L1_Mu12_EG10
363,10,L1_Mu5_EG15
364,93,L1_QuadJetC36_TauJet52
365,111,L1_QuadJetC60
366,14,L1_QuadJetC84
367,121,L1_QuadMu0
368,37,L1_SingleEG10
369,50,L1_SingleIsoEG18
370,10,L1_DoubleHfRingEtSumsRing1_P4N4
371,12,L1_DoubleHfRingEtSumsRing2_P4N4
372,96,L1_DoubleJet30U
373,63,L1_ETT60
374,69,L1_HTT50
375,46,L1_SingleEG2
376,48,L1_SingleEG8
377,7,L1_SingleHfRingEtSumsRing2_200
378,41,L1_SingleIsoEG8
379,21,L1_SingleJet60U
380,31,L1_SingleTauJet20U
381,32,L1_SingleTauJet30U
382,82,L1_BptxPlusORMinus
383,124,L1_BscMinBiasOR_BptxPlusORMinus
384,74,L1_DoubleNoIsoEG05_TopBottomCen
385,99,L1_DoubleTauJet20U
386,68,L1_ETM50
387,122,L1_IsoEG10_Jet12U
388,27,L1_SingleJet40U_Barrel
389,77,L1_SingleJet6U_Central
390,36,L1_SingleTauJet10U_Barrel
391,38,L1_SingleTauJet30U_Barrel
392,38,L1_BscSplashBeam1
393,90,L1_ZdcMinusOverThreshold
394,91,L1_ZdcTightVertex
395,121,L1_BptxPlusANDMinus
396,123,L1_BptxXOR
397,5,L1_BscMinBiasThreshold2_BptxAND
398,67,L1_ETT60_BptxAND
399,53,L1_HcalHoTotalOR
400,90,L1_NotBsc2_HcalHfMmOrPpOrPm
401,17,L1_SingleJet52
402,10,L1_SingleJet92_Central
403,38,L1_TripleEG_8_5_5
404,44,L1_DoubleMu_10_Open
405,106,L1_DoubleEG10
406,110,L1_DoubleEG2_FwdVeto
407,111,L1_DoubleEG_12_5
408,96,L1_DoubleJet52
409,71,L1_HTT150
410,3,L1_PreCollisions
411,101,L1_DoubleForJet36_EtaOpp
412,22,L1_DoubleMu_0_5
413,113,L1_DoubleTauJet32
414,7,L1_InterBunch_Hf
415,33,L1_SingleTauJet68
416,88,L1_SingleJet20U_NotBptxOR
417,1,L1_BptxPlusANDMinus
418,31,L1_DoubleForJet8_EtaOpp
419,24,L1_DoubleMu3p5_EG5
420,65,L1_ETM36
421,29,L1_Mu3_JetC16_WdEtaPhi2
422,23,L1_Mu5_DoubleEG5
423,27,L1_Mu5_DoubleEG6
424,90,L1_Mu8_DoubleJetC20
425,123,L1_MuOpen_EG5
426,114,L1_SingleForJet16
427,116,L1_SingleMu20_RomanPotsOR
428,7,L1_DoubleEG6_HTT50
429,88,L1_DoubleJet20_RomanPotsOR
430,100,L1_DoubleJetC36
431,41,L1_DoubleJetC52
432,90,L1_DoubleMu6_EG6
433,109,L1_ETM60
434,70,L1_HTT125
435,115,L1_DoubleEG5_BptxAND
436,107,L1_DoubleMu3_BptxAND
437,33,L1_EG2_ZdcCalo_NotHcalHfCoincidencePm_BptxAND
438,74,L1_EG5_ZdcCalo_NotHcalHfCoincidencePm_BptxAND
439,18,L1_SingleJet68_BptxAND
440,5,L1_BscHighMultiplicity_BptxAND
441,99,L1_CastorEm_TotemLowMultiplicity
442,121,L1_ZdcCaloPlus_TotemDiffractive_QElastic
443,110,L1_DoubleJetC100
444,81,L1_Mu20_EG8
445,91,L1_Mu5_DoubleEG5
446,2,L1_SingleEG2
447,38,L1_SingleIsoEG22er
448,34,L1_SingleIsoEG25
449,23,L1_SingleJet36
450,123,L1_BscHighMultiplicity
451,8,L1_DoubleHfBitCountsRing1_P1N1
452,66,L1_ETM30
453,116,L1_Mu5_Jet6U
454,52,L1_SingleEG20
455,3,L1_SingleHfBitCountsRing2_1
456,17,L1_SingleJet20U
457,20,L1_SingleJet50U
458,56,L1_SingleMu0
459,108,L1_TripleJet14U
460,95,L1_DoubleForJet20U
461,101,L1_DoubleIsoEG10
462,96,L1_DoubleJet40U
463,97,L1_DoubleJet60U
464,120,L1_IsoEG10_Jet6U
465,0,L1_MinBias_ETT10
466,117,L1_Mu5QFC_TauJet8U
467,46,L1_SingleEG1
468,81,L1_SingleForJet6U
469,126,L1_TauJet10U_ETM30
470,114,L1_Mu3_EG5
471,117,L1_Mu3_Jet10U
472,83,L1_BptxPlus_NotBptxMinus
473,126,L1_BscMinBiasOR_BptxPlusANDMinus
474,36,L1_BscMinBiasThreshold1
475,92,L1_ZdcLooseVertex
476,110,L1_DoubleEG5_BptxAND
477,44,L1_HcalHfCoincidencePm
478,95,L1_HcalHfMmpOrMpp_BptxAND
479,77,L1_NotBsc2_BptxAND_HcalHfMmOrPpOrPm
480,6,L1_NotBsc2_BscMinBiasOR
481,86,L1_SingleEG2_BptxAND
482,56,L1_SingleMu16
483,4,L1_BeamGas_Hf_BptxMinusPostQuiet
484,5,L1_BeamGas_Hf
485,8,L1_BeamHalo
486,103,L1_DoubleEG3
487,117,L1_DoubleEG5_HTT50
488,97,L1_DoubleForJet32_EtaOpp
489,11,L1_DoubleJet44_Central
490,58,L1_DoubleMu_5_Open
491,113,L1_DoubleTauJet32_Eta2p17
492,87,L1_EG12_Jet24_Central_deltaPhi1
493,115,L1_EG5_HTT100
494,120,L1_HTT50_HTM50
495,6,L1_InterBunch_Bsc
496,23,L1_Mu12_EG5
497,85,L1_Mu3_EG5
498,14,L1_Mu5_EG12
499,127,L1_QuadJet28_Central
