0,NO BEAM
1,STABLE BEAMS
2,INJECTION PROBE BEAM
3,INJECTION PHYSICS BEAM
4,INJECTION SETUP BEAM
5,BEAM DUMP
6,RECOVERY
7,PREPARE RAMP
8,FLAT TOP
9,RAMP
10,CYCLING
11,ADJUST
12,SQUEEZE
13,RAMP DOWN
14,SETUP
15,INJECT AND DUMP
16,CIRCULATE AND DUMP
17,BEAM DUMP WARNING
18,UNSTABLE BEAMS
19,ABORT
